Date,Close
2023-05-22,314.4356689453125
2023-05-23,308.6399841308594
2023-05-24,307.25958251953125
2023-05-25,319.0760803222656
2023-05-26,325.8997802734375
2023-05-30,324.2550048828125
2023-05-31,321.4942626953125
2023-06-01,325.5962219238281
2023-06-02,328.3570251464844
2023-06-05,328.8857116699219
2023-06-06,326.6732177734375
2023-06-07,316.5894775390625
2023-06-08,318.42999267578125
2023-06-09,319.9278869628906
2023-06-12,324.8816223144531
2023-06-13,327.2703552246094
2023-06-14,330.25634765625
2023-06-15,340.7904052734375
2023-06-16,335.1415100097656
2023-06-20,330.951416015625
2023-06-21,326.5556945800781
2023-06-22,332.5765380859375
2023-06-23,327.9850158691406
2023-06-26,321.6998291015625
2023-06-27,327.54449462890625
2023-06-28,328.797607421875
2023-06-29,328.0143737792969
2023-06-30,333.38909912109375
2023-07-03,330.8926696777344
2023-07-05,331.0493469238281
2023-07-06,334.1038513183594
2023-07-07,330.1388244628906
2023-07-10,324.86199951171875
2023-07-11,325.48858642578125
2023-07-12,330.1192626953125
2023-07-13,335.46466064453125
2023-07-14,337.99041748046875
2023-07-17,338.47021484375
2023-07-18,351.9411926269531
2023-07-19,347.623779296875
2023-07-20,339.58624267578125
2023-07-21,336.55126953125
2023-07-24,337.8631591796875
2023-07-25,343.60992431640625
2023-07-26,330.67724609375
2023-07-27,323.77532958984375
2023-07-28,331.26470947265625
2023-07-31,328.8661804199219
2023-08-01,329.27728271484375
2023-08-02,320.6229553222656
2023-08-03,319.80059814453125
2023-08-04,320.8970642089844
2023-08-07,323.1781005859375
2023-08-08,319.20343017578125
2023-08-09,315.4635925292969
2023-08-10,316.1488952636719
2023-08-11,314.26922607421875
2023-08-14,317.2356262207031
2023-08-15,315.10137939453125
2023-08-16,314.3361511230469
2023-08-17,310.88275146484375
2023-08-18,310.4903869628906
2023-08-21,315.7882080078125
2023-08-22,316.357177734375
2023-08-23,320.8112487792969
2023-08-24,313.9142761230469
2023-08-25,316.8673400878906
2023-08-28,317.57373046875
2023-08-29,322.194580078125
2023-08-30,322.5673828125
2023-08-31,321.5568542480469
2023-09-01,322.4398498535156
2023-09-05,327.2372741699219
2023-09-06,326.5799865722656
2023-09-07,323.66619873046875
2023-09-08,327.943603515625
2023-09-11,331.544189453125
2023-09-12,325.4909973144531
2023-09-13,329.6997985839844
2023-09-14,332.28985595703125
2023-09-15,323.97027587890625
2023-09-18,322.83221435546875
2023-09-19,322.42999267578125
2023-09-20,314.69915771484375
2023-09-21,313.4826354980469
2023-09-22,311.0102844238281
2023-09-25,311.5303039550781
2023-09-26,306.23248291015625
2023-09-27,306.8701477050781
2023-09-28,307.70416259765625
2023-09-29,309.774169921875
2023-10-02,315.7096252441406
2023-10-03,307.4588317871094
2023-10-04,312.9234619140625
2023-10-05,313.31585693359375
2023-10-06,321.0663146972656
2023-10-09,323.5779113769531
2023-10-10,322.17498779296875
2023-10-11,326.128662109375
2023-10-12,324.8924865722656
2023-10-13,321.52740478515625
2023-10-16,326.34454345703125
2023-10-17,325.77545166015625
2023-10-18,323.86236572265625
2023-10-19,325.04949951171875
2023-10-20,320.487548828125
2023-10-23,323.0873107910156
2023-10-24,324.2744445800781
2023-10-25,334.2225646972656
2023-10-26,321.6844177246094
2023-10-27,323.5680847167969
2023-10-30,330.9261169433594
2023-10-31,331.7109069824219
2023-11-01,339.5203552246094
2023-11-02,341.7277526855469
2023-11-03,346.1230163574219
2023-11-06,349.7823486328125
2023-11-07,353.7066345214844
2023-11-08,356.3262023925781
2023-11-09,353.86358642578125
2023-11-10,362.6736755371094
2023-11-13,359.74029541015625
2023-11-14,363.2623291015625
2023-11-15,363.4097900390625
2023-11-16,369.7997131347656
2023-11-17,363.58673095703125
2023-11-20,371.0482177734375
2023-11-21,366.7522277832031
2023-11-22,371.45123291015625
2023-11-24,371.0383605957031
2023-11-27,372.1983947753906
2023-11-28,376.2191467285156
2023-11-29,372.434326171875
2023-11-30,372.4932861328125
2023-12-01,368.1678466796875
2023-12-04,362.8887939453125
2023-12-05,366.21148681640625
2023-12-06,362.55450439453125
2023-12-07,364.6681213378906
2023-12-08,367.8925476074219
2023-12-11,365.0121765136719
2023-12-12,368.0400390625
2023-12-13,368.03021240234375
2023-12-14,359.7331237792969
2023-12-15,364.4518127441406
2023-12-18,366.33929443359375
2023-12-19,366.9389953613281
2023-12-20,364.34368896484375
2023-12-21,367.2142333984375
2023-12-22,368.23663330078125
2023-12-26,368.31524658203125
2023-12-27,367.7352600097656
2023-12-28,368.9248046875
2023-12-29,369.6719665527344
2024-01-02,364.5894470214844
2024-01-03,364.3240661621094
2024-01-04,361.70904541015625
2024-01-05,361.5223083496094
2024-01-08,368.3446960449219
2024-01-09,369.4261474609375
2024-01-10,376.2879333496094
2024-01-11,378.1164855957031
2024-01-12,381.8913879394531
2024-01-16,383.66094970703125
2024-01-17,382.87445068359375
2024-01-18,387.199951171875
2024-01-19,391.9186706542969
2024-01-22,389.7952575683594
2024-01-23,392.1446838378906
2024-01-24,395.7428283691406
2024-01-25,398.0136413574219
2024-01-26,397.0895690917969
2024-01-29,402.78155517578125
2024-01-30,401.670654296875
2024-01-31,390.8470764160156
2024-02-01,396.942138671875
2024-02-02,404.25616455078125
2024-02-05,398.7804870605469
2024-02-06,398.6231994628906
2024-02-07,407.0382080078125
2024-02-08,407.0971984863281
2024-02-09,413.4281311035156
2024-02-12,408.22772216796875
