Date,Close
2023-05-25,101.98950958251952
2023-05-26,101.74449157714844
2023-05-30,99.29582977294922
2023-05-31,98.51051330566406
2023-06-01,100.12946319580078
2023-06-02,103.0999755859375
2023-06-05,104.87127685546876
2023-06-06,106.33748626708984
2023-06-07,103.82758331298828
2023-06-08,103.95635986328124
2023-06-09,102.33350372314452
2023-06-12,102.3024673461914
2023-06-13,102.64446258544922
2023-06-14,102.47720336914062
2023-06-15,104.9081802368164
2023-06-16,103.70232391357422
2023-06-20,103.53190612792967
2023-06-21,103.81266784667967
2023-06-22,105.15164184570312
2023-06-23,103.03243255615234
2023-06-26,102.71160888671876
2023-06-27,106.0335464477539
2023-06-28,104.70282745361328
2023-06-29,104.28815460205078
2023-06-30,106.03240203857422
2023-07-03,106.83578491210938
2023-07-05,104.99849700927734
2023-07-06,103.37641143798828
2023-07-07,103.5421142578125
2023-07-10,107.15147399902344
2023-07-11,109.29425811767578
2023-07-12,109.49334716796876
2023-07-13,111.30194091796876
2023-07-14,112.57379150390624
2023-07-17,115.82268524169922
2023-07-18,117.0772476196289
2023-07-19,114.96746063232422
2023-07-20,114.55987548828124
2023-07-21,114.78526306152344
2023-07-24,113.62769317626952
2023-07-25,115.5387954711914
2023-07-26,116.15645599365234
2023-07-27,116.0677261352539
2023-07-28,118.2803726196289
2023-07-31,116.65279388427734
2023-08-01,114.43463134765624
2023-08-02,113.28058624267578
2023-08-03,111.51319885253906
2023-08-04,120.27942657470705
2023-08-07,127.34152221679688
2023-08-08,126.67239379882812
2023-08-09,125.83563995361328
2023-08-10,126.56324768066406
2023-08-11,125.89730834960938
2023-08-14,127.00067901611328
2023-08-15,125.67463684082033
2023-08-16,125.47007751464844
2023-08-17,122.19956970214844
2023-08-18,120.09369659423828
2023-08-21,119.84123992919922
2023-08-22,120.70075988769533
2023-08-23,121.66947174072266
2023-08-24,118.83560943603516
2023-08-25,119.46858978271484
2023-08-28,120.53269958496094
2023-08-29,122.15243530273438
2023-08-30,122.92716979980467
2023-08-31,121.92352294921876
2023-09-01,122.31068420410156
2023-09-05,123.4788589477539
2023-09-06,123.34418487548828
2023-09-07,121.8614730834961
2023-09-08,123.41839599609376
2023-09-11,124.97256469726562
2023-09-12,124.60934448242188
2023-09-13,122.34014129638672
2023-09-14,125.55684661865234
2023-09-15,124.087890625
2023-09-18,124.01641845703124
2023-09-19,122.22665405273438
2023-09-20,120.50521087646484
2023-09-21,119.22355651855467
2023-09-22,120.25508880615234
2023-09-25,121.6439437866211
2023-09-26,120.17813110351562
2023-09-27,121.04513549804688
2023-09-28,121.9156723022461
2023-09-29,121.09577941894533
2023-10-02,121.48098754882812
2023-10-03,118.22305297851562
2023-10-04,119.62407684326172
2023-10-05,118.53600311279295
2023-10-06,119.7406997680664
2023-10-09,118.18103790283205
2023-10-10,120.17107391357422
2023-10-11,120.62458801269533
2023-10-12,119.72341918945312
2023-10-13,115.83917999267578
2023-10-16,116.48277282714844
2023-10-17,116.9512176513672
2023-10-18,111.9188232421875
2023-10-19,109.36493682861328
2023-10-20,108.24346923828124
2023-10-23,110.71334838867188
2023-10-24,111.33492279052734
2023-10-25,110.45338439941406
2023-10-26,107.69570922851562
2023-10-27,107.83197784423828
2023-10-30,109.48469543457033
2023-10-31,109.53612518310548
2023-11-01,108.62005615234376
2023-11-02,111.4625244140625
2023-11-03,112.25296783447266
2023-11-06,116.67752075195312
2023-11-07,118.26663208007812
2023-11-08,118.59803009033205
2023-11-09,118.20223999023438
2023-11-10,120.714111328125
